Date,Close/Last,Volume,Open,High,Low
06/16/2026,$227.49,3705879,$229.47,$230.30,$225.30
06/15/2026,$228.95,8596025,$225.30,$231.34,$225.22
06/12/2026,$219.05,5665772,$222.37,$223.505,$216.70
06/11/2026,$221.63,6651482,$209.84,$221.77,$209.8001
06/10/2026,$209.00,7038093,$213.065,$213.70,$207.95
06/09/2026,$214.51,5198844,$216.50,$220.01,$212.23
06/08/2026,$215.92,3711679,$216.30,$217.79,$215.00
06/05/2026,$215.45,4804004,$216.58,$218.37,$213.63
06/04/2026,$217.42,8054968,$213.00,$221.60,$212.80
06/03/2026,$210.58,9105901,$216.10,$216.35,$209.63
06/02/2026,$217.70,7655583,$222.52,$224.69,$215.01
06/01/2026,$224.30,6400905,$228.36,$228.80,$222.21
05/29/2026,$231.15,6941936,$228.44,$232.30,$226.25
05/28/2026,$228.78,6526388,$224.00,$229.91,$222.845
05/27/2026,$224.30,11055750,$221.50,$226.90,$220.6975
05/26/2026,$218.90,5914621,$221.30,$222.41,$217.91
05/22/2026,$219.02,4647101,$220.85,$221.11,$217.165
05/21/2026,$219.61,6412808,$219.39,$221.17,$215.72
05/20/2026,$222.20,7708546,$216.80,$223.02,$216.50
05/19/2026,$215.01,5355349,$218.84,$220.05,$214.00
05/18/2026,$220.61,6568249,$220.48,$221.17,$216.79
05/15/2026,$220.49,9479889,$226.845,$226.85,$220.45
05/14/2026,$229.21,17761090,$243.52,$244.07,$227.50
05/13/2026,$240.60,7438701,$237.23,$242.27,$234.40
05/12/2026,$236.87,7041013,$239.00,$239.02,$231.11
05/11/2026,$238.21,6267001,$239.44,$241.21,$236.52
05/08/2026,$237.36,7525266,$233.80,$238.535,$231.75
05/07/2026,$231.03,8489752,$231.45,$236.63,$229.60
05/06/2026,$229.93,7166917,$230.93,$232.08,$228.10
05/05/2026,$224.38,3852073,$223.10,$225.56,$221.74
05/04/2026,$221.30,4860877,$226.49,$227.87,$221.04
05/01/2026,$227.38,3494200,$230.40,$231.51,$227.26
04/30/2026,$229.03,4841260,$225.90,$229.55,$224.612
04/29/2026,$224.11,6377690,$230.22,$230.255,$221.15
04/28/2026,$230.72,3807811,$231.05,$231.33,$227.07
04/27/2026,$231.33,4402564,$233.00,$235.45,$229.39
04/24/2026,$232.44,5732696,$234.99,$236.45,$232.065
04/23/2026,$234.15,8087561,$231.51,$235.91,$228.77
04/22/2026,$231.28,15779510,$227.05,$232.60,$221.22
04/21/2026,$219.16,7566292,$223.29,$225.66,$218.90
04/20/2026,$225.08,5014519,$222.23,$225.37,$220.3521
04/17/2026,$223.38,8874871,$223.07,$230.24,$222.50
04/16/2026,$218.88,7089589,$225.00,$225.10,$215.40
04/15/2026,$223.93,4397655,$224.18,$224.72,$221.645
04/14/2026,$223.77,4820884,$221.69,$225.10,$221.3201
04/13/2026,$222.14,4136876,$216.25,$222.21,$215.46
04/10/2026,$217.63,4829021,$220.17,$220.37,$216.66
04/09/2026,$220.06,4768685,$216.00,$221.29,$216.00
04/08/2026,$217.80,6267155,$218.935,$220.85,$216.0001
04/07/2026,$210.00,4084754,$211.01,$211.9899,$206.92
04/06/2026,$212.30,4172271,$207.37,$212.40,$207.37
04/02/2026,$208.22,6698574,$203.00,$208.78,$202.30
04/01/2026,$207.32,9664532,$203.50,$210.28,$203.50
03/31/2026,$199.03,9668311,$191.13,$199.33,$190.35
03/30/2026,$189.21,6606118,$191.48,$192.4999,$187.72
03/27/2026,$190.52,6000068,$192.925,$193.639,$189.28
03/26/2026,$194.36,5772621,$197.30,$198.2389,$194.27
03/25/2026,$199.61,5055934,$198.19,$200.745,$198.00
03/24/2026,$196.42,5691834,$196.11,$197.62,$194.3601
03/23/2026,$198.41,6247902,$198.91,$201.6899,$197.19
03/20/2026,$195.12,12925360,$201.05,$201.99,$192.54
03/19/2026,$201.18,9967614,$203.05,$203.05,$197.46
03/18/2026,$205.99,5881862,$209.00,$210.50,$205.75
03/17/2026,$210.82,7308124,$214.68,$217.15,$206.67
03/16/2026,$213.47,7347110,$210.75,$216.15,$210.75
03/13/2026,$209.89,8926573,$205.00,$210.84,$204.9154
03/12/2026,$204.76,10758600,$212.21,$212.6082,$204.30
03/11/2026,$214.10,7937357,$217.94,$217.94,$213.53
03/10/2026,$217.76,9285330,$224.10,$226.11,$217.03
03/09/2026,$225.00,8400123,$226.75,$227.59,$220.4463
